Time,LAT
0.000,-23.38
0.001,-14.37
0.002,-16.37
0.003,-2.384
0.004,6.632
0.005,26.62
0.006,24.63
0.007,16.61
0.008,12.62
0.009,11.62
0.010,8.621
0.011,-0.3632
0.012,-3.379
0.013,-0.3632
0.014,3.632
0.015,3.632
0.016,0.6316
0.017,-6.379
0.018,-14.37
0.019,-6.379
0.020,-9.379
0.021,-12.38
0.022,-7.374
0.023,-4.389
0.024,-5.384
0.025,2.621
0.026,9.616
0.027,14.62
0.028,14.62
0.029,14.62
0.030,17.64
0.031,21.63
0.032,22.63
0.033,16.61
0.034,8.621
0.035,8.621
0.036,0.6316
0.037,-8.384
0.038,-21.38
0.039,-27.38
0.040,-27.38
0.041,-24.38
0.042,-29.38
0.043,-33.38
0.044,-36.36
0.045,-29.38
0.046,-21.38
0.047,-12.38
0.048,-8.384
0.049,2.621
0.050,22.63
0.051,29.62
0.052,22.63
0.053,18.63
0.054,19.63
0.055,26.62
0.056,28.63
0.057,26.62
0.058,18.63
0.059,11.62
0.060,10.63
0.061,3.632
0.062,-0.3632
0.063,-7.374
0.064,-11.38
0.065,-17.37
0.066,-24.38
0.067,-27.38
0.068,-24.38
0.069,-16.37
0.070,-12.38
0.071,-12.38
0.072,-18.36
0.073,-10.37
0.074,1.626
0.075,6.632
0.076,6.632
0.077,4.626
0.078,8.621
0.079,13.61
0.080,17.64
0.081,24.63
0.082,17.64
0.083,15.62
0.084,15.62
0.085,15.62
0.086,15.62
0.087,8.621
0.088,2.621
0.089,-4.389
0.090,-3.379
0.091,-10.37
0.092,-19.39
0.093,-17.37
0.094,-11.38
0.095,-10.37
0.096,-2.384
0.097,2.621
0.098,0.6316
0.099,-5.384
0.100,-18.36
0.101,-20.38
0.102,-10.37
0.103,-3.379
0.104,-1.389
0.105,-1.389
0.106,-2.384
0.107,-14.37
0.108,-24.38
0.109,-16.37
0.110,-10.37
0.111,-4.389
0.112,0.6316
0.113,17.64
0.114,41.62
0.115,49.61
0.116,41.62
0.117,36.63
0.118,24.63
0.119,18.63
0.120,6.632
0.121,-11.38
0.122,-22.39
0.123,-30.38
0.124,-30.38
0.125,-23.38
0.126,-11.38
0.127,-3.379
0.128,-3.379
0.129,-1.389
0.130,8.621
0.131,21.63
0.132,23.62
0.133,18.63
0.134,11.62
0.135,3.632
0.136,-2.384
0.137,-5.384
0.138,-9.379
0.139,-11.38
0.140,-20.38
0.141,-26.38
0.142,-21.38
0.143,-5.384
0.144,0.6316
0.145,-0.3632
0.146,-10.37
0.147,-4.389
0.148,4.626
0.149,8.621
0.150,3.632
0.151,-0.3632
0.152,-0.3632
0.153,-6.379
0.154,-7.374
0.155,-15.38
0.156,-15.38
0.157,-19.39
0.158,-20.38
0.159,-27.38
0.160,-19.39
0.161,-13.37
0.162,-7.374
0.163,9.616
0.164,27.62
0.165,44.62
0.166,49.61
0.167,54.63
0.168,50.62
0.169,39.63
0.170,19.63
0.171,5.621
0.172,-5.384
0.173,-16.37
0.174,-40.39
0.175,-55.39
0.176,-55.39
0.177,-44.38
0.178,-31.37
0.179,-20.38
0.180,-4.389
0.181,13.61
0.182,43.63
0.183,53.64
0.184,51.62
0.185,39.63
0.186,23.62
0.187,10.63
0.188,-2.384
0.189,-14.37
0.190,-21.38
0.191,-10.37
0.192,3.632
0.193,2.621
0.194,-2.384
0.195,-2.384
0.196,-4.389
0.197,-8.384
0.198,-20.38
0.199,-28.37
0.200,-29.38
0.201,-27.38
0.202,-26.38
0.203,-18.36
0.204,-19.39
0.205,-13.37
0.206,1.626
0.207,19.63
0.208,24.63
0.209,22.63
0.210,32.62
0.211,42.63
0.212,41.62
0.213,32.62
0.214,15.62
0.215,-1.389
0.216,-6.379
0.217,-6.379
0.218,-1.389
0.219,-2.384
0.220,-4.389
0.221,-4.389
0.222,-11.38
0.223,-22.39
0.224,-32.37
0.225,-37.39
0.226,-33.38
0.227,-26.38
0.228,-27.38
0.229,-30.38
